FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
10481958.744,218.497,86.8694
10683044.096,223.123,86.7867
10887987.059,227.919,86.73
11096861.637,232.824,86.6553
11309743.254,237.842,86.5741
11526708.781,242.954,86.5037
11747836.564,248.239,86.4115
11973206.45,253.665,86.3251
12202899.82,259.29,86.2346
12436999.616,264.934,86.1458
12675590.371,270.775,86.0599
12918758.238,276.809,85.957
13166591.025,282.963,85.8565
13419178.223,289.395,85.7508
13676611.041,295.921,85.639
13938982.437,302.626,85.5468
14206387.151,309.582,85.4101
14478921.744,316.69,85.3423
14756684.627,324.069,85.2227
15039776.098,331.661,85.0969
15328298.381,339.405,84.9665
15622355.661,347.432,84.8327
15922054.121,355.706,84.6928
16227501.98,364.198,84.5513
16538809.534,373.041,84.3974
16856089.197,382.098,84.2347
17179455.537,391.526,84.0734
17509025.319,401.319,83.9132
17844917.551,411.347,83.738
18187253.522,421.775,83.5584
18536156.849,432.534,83.372
18891753.519,443.641,83.1734
19254171.937,455.286,82.9668
19623542.971,467.32,82.7574
20000000,479.854,82.5329
<segment> 49.5     # 49.9 ohm metal film (measured)
10000,31.5911,48.8316
10191.839,31.9294,48.3497
10387.359,32.2465,47.8602
10586.63,32.567,47.3985
10789.723,32.8921,46.9026
10996.713,33.2325,46.3697
11207.673,33.561,45.9071
11422.68,33.8896,45.371
11641.812,34.1983,44.8878
11865.148,34.5238,44.4274
12092.769,34.8135,43.8464
12324.756,35.1286,43.4275
12561.193,35.4183,42.8939
12802.167,35.7512,42.4301
13047.763,36.058,41.9065
13298.07,36.3508,41.4135
13553.18,36.6204,40.9369
13813.183,36.9484,40.3815
14078.175,37.198,39.9508
14348.25,37.5134,39.4018
14623.506,37.7734,38.9729
14904.042,38.0665,38.4779
15189.961,38.3082,38.0009
15481.364,38.5961,37.5366
15778.358,38.856,37.0244
16081.049,39.1436,36.5711
16389.547,39.3839,36.0432
16703.963,39.6303,35.59
17024.411,39.884,35.1343
17351.007,40.0981,34.6526
17683.867,40.3508,34.1999
18023.114,40.5967,33.7019
18368.868,40.807,33.261
18721.256,41.0662,32.8216
19080.403,41.278,32.3381
19446.441,41.501,31.9257
19819.5,41.704,31.4555
20199.717,41.9181,31.0038
20587.227,42.1376,30.5507
20982.171,42.3279,30.1308
21384.692,42.5303,29.7221
21794.935,42.6996,29.2905
22213.048,42.8566,28.8224
22639.182,43.0891,28.4283
23073.491,43.2708,27.9984
23516.131,43.4511,27.5933
23967.263,43.6164,27.2203
24427.05,43.7948,26.7866
24895.657,43.981,26.3981
25373.254,44.1107,26.0242
25860.014,44.2676,25.6418
26356.111,44.4264,25.2478
26861.725,44.5647,24.8731
27377.039,44.7224,24.4588
27902.239,44.8577,24.1277
28437.514,45.0285,23.7417
28983.058,45.1294,23.3813
29539.067,45.2728,23.0144
30105.743,45.4277,22.6452
30683.29,45.5344,22.2946
31271.917,45.655,21.9642
31871.835,45.7729,21.619
32483.263,45.8858,21.2906
33106.42,46.0033,20.965
33741.532,46.1018,20.6408
34388.828,46.204,20.3273
35048.541,46.3055,20.0023
35720.911,46.4049,19.6975
36406.179,46.5018,19.3997
37104.593,46.5943,19.1155
37816.406,46.6838,18.8049
38541.874,46.7704,18.5132
39281.259,46.8635,18.2366
40034.829,46.9403,17.947
40802.855,47.0182,17.6732
41585.615,47.0953,17.4068
42383.391,47.1757,17.1396
43196.472,47.2454,16.8749
44025.15,47.318,16.6121
44869.727,47.3849,16.3676
45730.505,47.4488,16.113
46607.797,47.5179,15.8726
47501.918,47.582,15.6279
48413.193,47.6377,15.3939
49341.949,47.6958,15.1599
50288.522,47.7531,14.9303
51253.255,47.8135,14.708
52236.494,47.8695,14.4965
53238.597,47.9143,14.277
54259.923,47.9624,14.0701
55300.843,48.0144,13.8587
56361.731,48.0614,13.6584
57442.972,48.1107,13.4612
58544.955,48.1503,13.2645
59668.078,48.1952,13.076
60812.747,48.2381,12.8874
61979.376,48.2781,12.7075
63168.385,48.3151,12.5284
64380.204,48.3535,12.3511
